Avfallshanteringsverk;Kunta;;;
Loimi-Hämeen Jätehuolto;Akaa;;;
Millespakka;Alajärvi;;;
Vestia;Alavieska;;;
Lakeuden Etappi;Alavus;;;
Salpakierto Oy;Asikkala;Salpakierto Oy;1.1.2021* Päijät-Hämeen Jätehuolto vaihtanut nimen --> Salpakierto Oy;
Rosk’n Roll Oy Ab;Askola;;;
Lounais-Suomen Jätehuolto;Aura;;;
Savonlinnan Seudun Jätehuolto;Enonkoski;;;
Lapin Jätehuolto kuntayhtymä, Lapeco;Enontekiö;;;
HSY;Espoo;;;
Loimi-Hämeen Jätehuolto;Eura;;;
Porin seutu;Eurajoki;;;
Ekorosk;Evijärvi;;;
Loimi-Hämeen Jätehuolto;Forssa;;;
Vestia;Haapajärvi;;;
Vestia;Haapavesi;;;
Kiertokaari;Hailuoto;;;
Millespakka;Halsua;;;
Kymenlaakson Jäte;Hamina;;;
Sammakkokangas;Hankasalmi; Sammakkokangas ei hoida jäteastioiden tyhjennyspalvelua;;
Rosk’n Roll Oy Ab;Hanko;;;
Porin seutu;Harjavalta;;;
Kiertokapula;Hattula;;;
Kiertokapula;Hausjärvi;;;
Salpakierto Oy;Heinola;Salpakierto Oy;;
Keski-Savon Jätehuolto;Heinävesi;;;
HSY;Helsinki;;;
Salpakierto Oy;Hollola;Salpakierto Oy;;
Loimi-Hämeen Jätehuolto;Huittinen;;;
Loimi-Hämeen Jätehuolto;Humppila;;;
Kainuun jätehuoltokuntayhtymä Ekokymppi;Hyrynsalmi;;;
Kiertokapula;Hyvinkää;;;
Pirkanmaan Jätehuolto;Hämeenkyrö;;;
Kiertokapula;Hämeenlinna;;;
Kiertokaari;Ii;;;
Ylä-Savon Jätehuolto;Iisalmi;;;
Kymenlaakson Jäte;Iitti;;;
Pirkanmaan Jätehuolto;Ikaalinen;;;
Lakeuden Etappi;Ilmajoki;;;
Puhas;Ilomantsi;;;
Etelä-Karjalan Jätehuolto;Imatra;;;
Lapin Jätehuolto kuntayhtymä, Lapeco;Inari;;;
Rosk’n Roll Oy Ab;Inkoo;;;
Botniarosk;Isojoki;;;
Stormossen;Isokyrö; ;;
Kiertokapula;Janakkala;;;
Puhas;Joensuu;;;
Loimi-Hämeen Jätehuolto;Jokioinen;;;
Keski-Savon Jätehuolto;Joroinen;;;
Jätekukko;Juuka;;;
Pirkanmaan Jätehuolto;Juupajoki;;;
Keski-Savon Jätehuolto;Juva;;;
Mustankorkea;Jyväskylä;;;
Jämsän Jätehuolto liikelaitos;Jämsä;;;
Kiertokapula;Järvenpää;;;
Lounais-Suomen Jätehuolto;Kaarina;;;
Jätekukko;Kaavi;;;
Kainuun jätehuoltokuntayhtymä Ekokymppi;Kajaani;;;
Vestia;Kalajoki;;;
Pirkanmaan Jätehuolto;Kangasala;;;
Sammakkokangas;Kannonkoski;;;
Vestia;Kannus;;;
Botniarosk;Karijoki;;;
Rosk’n Roll Oy Ab;Karkkila;;;
Sammakkokangas;Karstula;;;
Botniarosk;Kaskinen;;;
Botniarosk;Kauhajoki;;;
Ekorosk;Kauhava;;;
HSY;Kauniainen;;;
Ekorosk;Kaustinen;;;
Ylä-Savon Jätehuolto;Keitele;;;
Perämeren jätehuolto;Kemi;;;
Lapin Jätehuolto kuntayhtymä, Lapeco;Kemijärvi;;;
Perämeren jätehuolto;Keminmaa;;;
Lounais-Suomen Jätehuolto;Kemiönsaari;;;
Kiertokaari;Kempele;;;
Kiertokapula;Kerava;;;
Lakeuden Etappi;Kihniö;;;
Sammakkokangas;Kinnula;;;
HSY;Kirkkonummi;;;
Lapin Jätehuolto kuntayhtymä, Lapeco;Kittilä;;;
Ylä-Savon Jätehuolto;Kiuruvesi;;;
Sammakkokangas;Kivijärvi;;;
Porin seutu;Kokemäki;;;
Ekorosk;Kokkola;;;
Jätekukko;Konnevesi;;;
